Price,Airline,Departure Date,Departure Time
766.48,KL,2025-07-03,2025-07-03T09:45:00
766.48,KL,2025-07-02,2025-07-02T17:30:00
766.48,KL,2025-07-03,2025-07-03T09:45:00
766.48,KL,2025-07-02,2025-07-02T21:10:00
766.48,KL,2025-07-03,2025-07-03T14:20:00
766.48,KL,2025-07-02,2025-07-02T21:10:00
766.48,KL,2025-07-03,2025-07-03T21:00:00
766.48,KL,2025-07-02,2025-07-02T19:20:00
766.48,KL,2025-07-03,2025-07-03T21:00:00
766.48,AF,2025-07-02,2025-07-02T21:10:00
766.48,AF,2025-07-03,2025-07-03T21:00:00
768.80,AY,2025-07-02,2025-07-02T22:55:00
774.36,TK,2025-07-02,2025-07-02T19:50:00
774.36,TK,2025-07-03,2025-07-03T15:00:00
774.36,TK,2025-07-02,2025-07-02T06:45:00
774.36,TK,2025-07-03,2025-07-03T08:00:00
788.98,AF,2025-07-02,2025-07-02T18:20:00
788.98,KL,2025-07-03,2025-07-03T09:45:00
828.47,AY,2025-07-02,2025-07-02T16:45:00
828.47,AY,2025-07-03,2025-07-03T10:15:00
847.61,IB,2025-07-02,2025-07-02T17:10:00
847.61,IB,2025-07-03,2025-07-03T10:05:00
854.09,IB,2025-07-02,2025-07-02T23:25:00
854.09,IB,2025-07-04,2025-07-04T10:05:00
954.84,6X,2025-07-02,2025-07-02T15:00:00
954.84,6X,2025-07-03,2025-07-03T02:20:00
1127.36,TK,2025-07-02,2025-07-02T12:50:00
1127.36,TK,2025-07-03,2025-07-03T08:00:00
1127.36,TK,2025-07-02,2025-07-02T12:50:00
1127.36,TK,2025-07-03,2025-07-03T15:00:00
2302.56,UA,2025-07-02,2025-07-02T21:50:00
2302.56,UA,2025-07-04,2025-07-04T09:25:00
3593.27,AY,2025-07-02,2025-07-02T23:10:00
3593.27,AY,2025-07-03,2025-07-03T13:00:00
3593.27,AY,2025-07-02,2025-07-02T21:30:00
3593.27,AY,2025-07-03,2025-07-03T11:30:00
3593.27,AY,2025-07-02,2025-07-02T20:05:00
3593.27,AY,2025-07-03,2025-07-03T10:20:00
3593.27,AY,2025-07-02,2025-07-02T20:55:00
3593.27,AY,2025-07-03,2025-07-03T11:30:00
3593.27,AY,2025-07-02,2025-07-02T19:30:00
3593.27,AY,2025-07-03,2025-07-03T10:20:00
3603.52,AY,2025-07-02,2025-07-02T20:05:00
3603.52,AY,2025-07-03,2025-07-03T11:30:00
3603.52,AY,2025-07-02,2025-07-02T20:05:00
3603.52,AY,2025-07-03,2025-07-03T13:00:00
3856.73,AY,2025-07-02,2025-07-02T23:10:00
3856.73,AY,2025-07-03,2025-07-03T16:10:00
588.39,TP,2025-07-03,2025-07-03T22:05:00
588.39,TP,2025-07-04,2025-07-04T16:35:00
668.35,FI,2025-07-03,2025-07-03T20:25:00
668.35,FI,2025-07-04,2025-07-04T07:30:00
677.67,6X,2025-07-03,2025-07-03T17:40:00
693.58,6X,2025-07-03,2025-07-03T17:00:00
693.58,6X,2025-07-04,2025-07-04T15:25:00
694.84,6X,2025-07-03,2025-07-03T05:00:00
694.84,6X,2025-07-03,2025-07-03T16:05:00
694.84,6X,2025-07-03,2025-07-03T05:00:00
694.84,6X,2025-07-03,2025-07-03T16:10:00
694.92,6X,2025-07-03,2025-07-03T10:00:00
694.92,6X,2025-07-04,2025-07-04T15:25:00
707.75,FI,2025-07-03,2025-07-03T23:10:00
707.75,FI,2025-07-05,2025-07-05T07:30:00
744.44,UA,2025-07-03,2025-07-03T17:30:00
744.44,UA,2025-07-04,2025-07-04T15:25:00
747.83,UA,2025-07-03,2025-07-03T21:50:00
